data_set,table_name,endpoint,endpoint_description
120 Day Delinquent Debt Referral Compliance Report,120 Day Delinquent Debt Referral Compliance Report,/v2/debt/tror/data_act_compliance,"The 120 Day Delinquent Debt Referral Compliance Report provides access to tracking and benchmarking compliance with the requirements of a key provision of the Digital Accountability and Transparency Act of 2014 (the DATA Act). This table provides quick insights into federal agency compliance rates, as well as information on the number of eligible debts and debts referred or not referred each quarter, beginning in Fiscal Year 2016."
Accrual Savings Bonds Redemption Tables,Redemption Tables,/v2/accounting/od/redemption_tables,"The Redemption Tables dataset contains monthly tables that list the redemption value, interest earned, and yield of accrual savings bonds purchased since 1941. Each monthly report lists the redemption value of all bonds at the time of publication. Investors and bond owners can use this dataset as an easy and understandable reference to know the redemption value of the bonds they hold."
Advances to State Unemployment Funds (Social Security Act Title XII),Advances to State Unemployment Funds (Social Security Act Title XII),/v2/accounting/od/title_xii,Monthly balances for securities outstanding and principal outstanding for State and Local Government Series (SLGS) securities.
Average Interest Rates on U.S. Treasury Securities,Average Interest Rates on U.S. Treasury Securities,/v2/accounting/od/avg_interest_rates,Average interest rates for marketable and non-marketable securities.
Daily Treasury Statement (DTS),Operating Cash Balance,/v1/accounting/dts/dts_table_1,This table represents the Treasury General Account balance. Additional detail on changes to the Treasury General Account can be found in the Deposits and Withdrawals of Operating Cash table. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Deposits and Withdrawals of Operating Cash,/v1/accounting/dts/dts_table_2,This table represents deposits and withdrawals from the Treasury General Account. A summary of changes to the Treasury General Account can be found in the Operating Cash Balance table. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Public Debt Transactions,/v1/accounting/dts/dts_table_3a,This table represents the issues and redemption of marketable and nonmarketable securities. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Adjustment of Public Debt Transactions to Cash Basis,/v1/accounting/dts/dts_table_3b,This table represents cash basis adjustments to the issues and redemptions of Treasury securities in the Public Debt Transactions table. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Debt Subject to Limit,/v1/accounting/dts/dts_table_3c,This table represents the breakdown of total public debt outstanding as it relates to the statutory debt limit. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Federal Tax Deposits,/v1/accounting/dts/dts_table_4,This table represents the breakdown of taxes that are received by the federal government. Federal taxes received are represented as deposits in the Deposits and Withdrawals of Operating Cash table. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Short-Term Cash Investments,/v1/accounting/dts/dts_table_5,This table represents the amount Treasury has in short-term cash investments. Deposits and withdrawals of short-term cash investments are also represented in the Deposits and Withdrawals of Operating Cash table. This program was suspended indefinitely in 2008. All figures are rounded to the nearest million.
Daily Treasury Statement (DTS),Income Tax Refunds Issued,/v1/accounting/dts/dts_table_6,This table represents the breakdown of tax refunds by recipient (individual vs business) and type (check vs electronic funds transfer). Tax refunds are also represented as withdrawals in the Deposits and Withdrawals of Operating Cash table. All figures are rounded to the nearest million.
Debt to the Penny,Debt to the Penny,/v2/accounting/od/debt_to_penny,Outstanding U.S. debt on a daily basis.
Federal Borrowings Program: Interest on Uninvested Funds,Federal Borrowings Program: Interest on Uninvested Funds,/v2/accounting/od/interest_uninvested,A quarterly report containing interest balances associated with Treasury's Credit Reform: Interest Paid on Uninvested Funds account.
Federal Investments Program: Interest Cost by Fund,Federal Investments Program: Interest Cost by Fund,/v2/accounting/od/interest_cost_fund,"A monthly summary report containing premiums, discounts, accrued interest collected, interest payments, and inflation compensation for all accounts invested in Government Account Series (GAS) Securities, as well as premium and discount amortization for accounts invested in zero-coupon bonds (ZCBs)."
Financial Report of the U.S. Government,Statements of Net Cost,/v2/accounting/od/statement_net_cost,"The Statement of Net Cost presents the net cost of government operations, including the operations related to funds from dedicated collections. Costs and earned revenues are categorized on the Statement of Net Cost by significant entity, providing greater accountability by showing the relationship of entities' net costs to the government-wide net cost. Net cost is computed by subtracting earned revenue from gross cost, adjusted by the total gain or loss from changes in assumptions."
Financial Report of the U.S. Government,Statements of Operations and Changes in Net Position,/v1/accounting/od/net_position,"The Statement of Operations and Changes in Net Position (SOCNP) reports the results of government operations, net operating costs, which includes the results of operations for funds from dedicated collections. The statement includes non-exchange revenues, which are inflows of resources to the government that the government demands or that it receives by donations are identified, such as taxes and duties. The net operating cost equals revenue less net cost of government operations (that flows from the Statement of Net Cost) adjusted by intra-governmental transfers and unmatched transactions and balances. The change in net position between the beginning and end of the fiscal year reflects adjustments to beginning net position and net operating costs."
Financial Report of the U.S. Government,Reconciliations of Net Operating Cost and Budget Deficit,/v1/accounting/od/reconciliations,"The Reconciliation of Net Operating Cost and Budget Deficit statement covers the reconciliation of the results of operations (net operating cost from the Statement of Operations and Changes in Net Position) to the budget deficit. Receipts and outlays in the budget are measured primarily on a cash basis as opposed to the accrual basis of accounting used in the Financial Report. The premise of the reconciliation is that transaction data is shared between the accrual and budgetary cash accounting basis. These statements begin with net operating cost and report activities where the basis of accounting for the components of net operating cost and the budget deficit differ, as well as adjustments to beginning net position and other reconciling items."
Financial Report of the U.S. Government,Statements of Changes in Cash Balance from Budget and Other Activities,/v1/accounting/od/cash_balance,"The Statement of Changes in Cash Balance from Budget and Other Activities covers cash flow from budget activities, adjustments from non-cash outlays included in the budget, cash flow from activities not included in the budget. It details how the annual budget deficit relates to the change in the government's cash, other monetary assets, federal debt, and interest payable. It also explains how the budget deficits were financed."
Financial Report of the U.S. Government,Balance Sheets,/v2/accounting/od/balance_sheets,"The Balance Sheet provides an overview of the government's assets, liabilities, and net position to present a more comprehensive report of the government's financial position. The most significant assets that are reported on the balance sheets are loans receivable; property, plant, and equipment; inventories and related property; and cash or other monetary assets. The most significant liabilities reported on the balance sheets are federal debt securities held by the public and accrued interest, and federal employee and veteran benefits payable. The net position is the residual difference between assets and liabilities and is the cumulative results of operations since inception."
Financial Report of the U.S. Government,Statements of Long-Term Fiscal Projections,/v1/accounting/od/long_term_projections,"The Statement of Long-Term Fiscal Projections displays the present value of 75-year projections by major category of receipts and non-interest spending. It aids in the assessment of the federal government's financial condition and how it has changed during the year and may change in the future. It also helps in evaluating whether future budgetary resources will be sufficient to sustain public services and to meet obligations when due, assuming that current policy for federal government public services and taxation is continued without change. This statement presents data as a percent of GDP to help readers assess whether current fiscal policy is sustainable."
Financial Report of the U.S. Government,Statements of Social Insurance,/v1/accounting/od/social_insurance,"The Statement of Social Insurance (SOSI) provides long-range estimates that can be used to assess the financial condition of the most significant U.S. social insurance programs: Social Security, Medicare, Railroad Retirement, and Black Lung. These programs are administered by the Social Security Administration, the Department of Health & Human Services, the Railroad Retirement Board, and the Department of Labor, respectively. SOSI displays 75-year projections (except for Black Lung) by major social insurance program, illustrating the relationship between the estimated receipts and expenditures of those programs."
Financial Report of the U.S. Government,Statements of Changes in Social Insurance Amounts,/v1/accounting/od/insurance_amounts,"The Statement of Changes in Social Insurance Amounts (SCSIA) shows reasons for changes in the Statement of Social Insurance (SOSI) estimates between one current valuation period and the prior valuation period. It details the reasons for the change by social insurance program, including changes in factors such as (1) demographic data, assumptions, and methods; (2) policy; and (3) economic and other health care assumptions."
Gift Contributions to Reduce the Public Debt,Gift Contributions to Reduce the Public Debt,/v2/accounting/od/gift_contributions,Summary of gifts donated to the United States Government to reduce debt held by the public.
Historical Debt Outstanding,Historical Debt Outstanding,/v2/accounting/od/debt_outstanding,U.S. debt outstanding at the end of each fiscal year.
Historical Qualified Tax Credit Bond Interest Rates,Historical Qualified Tax Credit Bond Interest Rates,/v2/accounting/od/qualified_tax,"Historical interest rate, term to maturity, and permitted sinking fund yield for qualified tax credit bonds reported daily through January 30, 2018."
Interest Expense on the Public Debt Outstanding,Interest Expense on the Public Debt Outstanding,/v2/accounting/od/interest_expense,"The Interest Expense on the Debt Outstanding is a monthly summary of the cost of interest on U.S. debt, including U.S. Treasury notes and bonds, foreign and domestic series certificates of indebtedness, notes and bonds, savings bonds, State and Local Government series (SLGS) and other special purpose securities."
Judgment Fund: Annual Report to Congress,Judgment Fund: Annual Report to Congress,/v2/payments/jfics/jfics_congress_report,"This table provides a listing of payments made through the Judgment Fund including the amount paid out, judgment type, legal representatives, agencies involved, and associated costs."
Monthly State and Local Government Series (SLGS) Securities Program,Monthly State and Local Government Series (SLGS) Securities Program,/v2/accounting/od/slgs_statistics,This table shows what states and territories are borrowing from the federal Unemployment Trust Fund in order to pay out unemployment benefits.
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",/v1/accounting/mts/mts_table_1,"This summary table shows the total amount of receipts and outlays and the amount of the budget surplus/deficit by month for the current and prior fiscal years. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,/v1/accounting/mts/mts_table_2,"This summary table shows the on-budget and off-budget receipts and outlays, the on-budget and off-budget surplus/deficit, and the means of financing the budget surplus/deficit. The table also shows the budgeted amounts estimated in the President's Budget for the current fiscal year and next fiscal year for each item on the table. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,/v1/accounting/mts/mts_table_3,"This summary table shows, for Budget Receipts, the total amount of activity for the current month, the current fiscal year-to-date, the comparable prior period year-to-date and the budgeted amount estimated for the current fiscal year for various types of receipts (i.e. individual income tax, corporate income tax, etc.). The Budget Outlays section of the table shows the total amount of activity for the current month, the current fiscal year-to-date, the comparable prior period year-to-date and the budgeted amount estimated for the current fiscal year for agencies of the federal government. The table also shows the amounts for the budget/surplus deficit categorized as listed above. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,/v1/accounting/mts/mts_table_4,"This table shows the gross receipts, refunds and net receipts for the current month, the current fiscal year-to-date and the prior fiscal year-to-date for the various receipts of the federal government. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,/v1/accounting/mts/mts_table_5,"This table shows the gross outlays, applicable receipts and net outlays for the current month, current fiscal year-to-date and prior fiscal year-to-date by various agency programs accounted for in the budget of the federal government. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,/v1/accounting/mts/mts_table_6,"This table shows the net transactions for the current month, and the current and prior fiscal year-to-date, as well as account balances for the beginning of the current fiscal year and current accounting month and the close of the current accounting month. This activity is related to the means used to finance the budget deficit or to dispose of a budget surplus. An asset account would represent an asset to the United States Government, for example United States Treasury Operating Cash. A liability account would represent a liability to the United States Government, for example Borrowing from the Public. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Analysis of Change in Excess of Liabilities of the U.S. Government,/v1/accounting/mts/mts_table_6a,"This table is a subsidiary table for Means of Financing the Deficit or Disposition of Surplus by the U.S. Government providing a detailed view of the Change in Excess of Liabilities. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Securities Issued by Federal Agencies Under Special Financing Authorities,/v1/accounting/mts/mts_table_6b,"This table is a subsidiary table for Means of Financing the Deficit or Disposition of Surplus by the U.S. Government providing a detailed view of the transactions labelled, Agency Securities, Issued Under Special Financing Authorities. Special financing authorities include financing that is established by legislation under special or unique circumstances and for a specific purpose. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Federal Agency Borrowing Financed Through the Issue of Treasury Securities,/v1/accounting/mts/mts_table_6c,"This table is a subsidiary table for Means of Financing the Deficit or Disposition of Surplus by the U.S. Government, providing a detailed view of transactions and account balances for agency programs that borrow from the United States Treasury or from the Federal Financing Bank. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Investments of Federal Government Accounts in Federal Securities,/v1/accounting/mts/mts_table_6d,"This table is a subsidiary table for Means of Financing the Deficit or Disposition of Surplus by the U.S. Government providing a detailed view of federal funds and trust funds that are invested in Government Account Series (GAS) securities. Federal funds include general funds, special funds, and revolving funds (public enterprise revolving funds, intragovernmental revolving funds, and credit financing accounts). A trust fund is a type of account, designated by law, for receipts or offsetting receipts dedicated to specific purposes and the expenditure of these receipts. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
