data_set,table_name,endpoint,endpoint_description
Monthly Treasury Statement (MTS),"Guaranteed and Direct Loan Financing, Net Activity",/v1/accounting/mts/mts_table_6e,"This table is a subsidiary table for Means of Financing the Deficit or Disposition of Surplus by the U.S. Government providing a detailed view of all direct and guaranteed loan financing for federal credit programs under the Credit Reform Act of 1990. Guaranteed loan financing is issuing any debt obligation with a guarantee, insurance, or other pledge that payment of all or a part of the principal or interest will be made to the lender. This table applies to lending to non-federal borrowers by non-federal lenders that carries some form of guarantee by the federal government. Exceptions include the insurance of deposits, shares, or other withdrawable accounts in financial institutions. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Receipts and Outlays of the U.S. Government by Month,/v1/accounting/mts/mts_table_7,"This table shows the receipts and outlays of the United States Government by month for the current fiscal year, up to and including the current accounting month. The table also shows the total receipts and outlays for the current fiscal year-to-date and the comparable prior fiscal year-to-date. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),Trust Fund Impact on Budget Results and Investment Holdings,/v1/accounting/mts/mts_table_8,"This table shows the total receipts and outlays and the resulting surplus or deficit (shown on the table as excess) for the current month and the current fiscal year-to-date for all federal trust funds. The table also shows the totals for securities held as investments by the federal trust funds for the beginning of the fiscal year and the beginning and ending of the current accounting month. A trust fund is a type of account, designated by law, for receipts or offsetting receipts dedicated to specific purposes and the expenditure of these receipts. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Monthly Treasury Statement (MTS),"Summary of Receipts by Source, and Outlays by Function of the U.S. Government",/v1/accounting/mts/mts_table_9,"This summary table shows, for Budget Receipts, the total amount of activity for the current month, the current fiscal year-to-date, the comparable prior period year-to-date and the budgeted amount estimated for the current fiscal year for various types of receipts (i.e. individual income tax, corporate income tax, etc.). The Budget Outlays section of the table shows the total amount of activity for the current month, the current fiscal year-to-date, the comparable prior period year-to-date and the budgeted amount estimated for the current fiscal year for functions of the federal government. The table also shows the amounts for the budget/surplus deficit categorized as listed above. This table includes total and subtotal rows that should be excluded when aggregating data. Some rows represent elements of the dataset's hierarchy, but are not assigned values. The classification_id for each of these elements can be used as the parent_id for underlying data elements to calculate their implied values. Subtotal rows are available to access this same information."
Record-Setting Treasury Securities Auction Data,Record-Setting Auction,/v2/accounting/od/record_setting_auction,"Rates, yields, offering, and auction dates of record high and low Treasury Bills, Notes, Bonds, Treasury Inflation-Protected Securities, Floating Rate Notes and Cash Management Bills."
Savings Bonds Securities Sold,Savings Bonds Securities,/v1/accounting/od/slgs_savings_bonds,"Statistics on sold, redeemed, outstanding, and interest rates of non-marketable savings bonds."
Savings Bonds Value Files,Savings Bonds Value Files,/v2/accounting/od/sb_value,"The Savings Bond Value Files dataset is used by developers of bond pricing programs to update their systems with new redemption values for accrual savings bonds (Series E, EE, I & Savings Notes). The core data is the same as the Redemption Tables but there are differences in format, amount of data, and date range. The Savings Bonds Value Files dataset is meant for programmers and developers to read in redemption values without having to first convert PDFs."
Schedules of Federal Debt,Schedules of Federal Debt by Month,/v1/accounting/od/schedules_fed_debt,"This table represents monthly activity for the Federal Debt Managed by the Bureau of the Fiscal Service separated by Held by the Public and Intragovernmental Debt Holdings totaled by Principal, Accrued Interest Payable, and Net Unamortized Premiums/Discounts. All figures are rounded to the nearest million."
Schedules of Federal Debt,"Schedules of Federal Debt, Fiscal Year-to-Date",/v1/accounting/od/schedules_fed_debt_fytd,"This table represents fiscal year-to-date activity for the Federal Debt Managed by the Bureau of the Fiscal Service separated by Held by the Public and Intragovernmental Debt Holdings totaled by Principal, Accrued Interest Payable, and Net Unamortized Premiums/Discounts. All figures are rounded to the nearest million."
Schedules of Federal Debt by Day,Daily Activity,/v1/accounting/od/schedules_fed_debt_daily_activity,"The Daily Activity Table provides daily changes in federal debt. The data notes whether the debt is debt held by the public or intragovernmental holdings. These two categories are further broken down into borrowing, repayment, interest, unamortized, and amortization amounts."
Schedules of Federal Debt by Day,Daily Summary,/v1/accounting/od/schedules_fed_debt_daily_summary,"The Daily Activity Table provides daily federal debt balances. The data is broken out by debt held by the public and intragovernmental holdings amounts. These amounts include principal, accrued interest payable, and net unamortized. These amounts are in millions."
Securities Issued In TreasuryDirect,Sales,/v1/accounting/od/securities_sales,"Securities Issued in TreasuryDirect: Sales provides gross sales, returns, net sales, and count of securities for marketable securities and savings bonds issued in TreasuryDirect. Securities are available by security class: bills, notes, bonds, and TIPS for marketable securities and Series E, EE, and I for savings bonds."
Securities Issued In TreasuryDirect,Sales by Term,/v1/accounting/od/securities_sales_term,"Securities Issued in TreasuryDirect: Sales by Term provides the count and dollar value of marketable securities and savings bonds issued in TreasuryDirect by term. Securities are available by security class: bills, notes, bonds, and Treasury Inflation-Protected Securities (TIPS) for marketable securities and Series EE and I for savings bonds."
Securities Issued In TreasuryDirect,Transfers of Marketable Securities,/v1/accounting/od/securities_transfers,"Securities Issued In TreasuryDirect: Transfers of Marketable Securities provides the count and dollar value for marketable securities transferred to TreasuryDirect from legacy Treasury Direct, legacy holding system, and commercial book entry."
Securities Issued In TreasuryDirect,Conversions of Paper Savings Bonds,/v1/accounting/od/securities_conversions,Securities Issued in TreasuryDirect: Conversions of Paper Savings Bonds provides the count and dollar value of paper savings bonds converted to electronic savings bonds in TreasuryDirect.
Securities Issued In TreasuryDirect,Redemptions,/v1/accounting/od/securities_redemptions,"Securities Issued in TreasuryDirect: Redemptions provides the count and dollar value for marketable securities and savings bonds redeemed in TreasuryDirect. Securities are available by security class: bills, notes, bonds, and Treasury Inflation-Protected Securities (TIPS) for marketable securities and Series E, EE, and I for savings bonds."
Securities Issued In TreasuryDirect,Outstanding,/v1/accounting/od/securities_outstanding,"Securities Issued in TreasuryDirect: Outstanding provides the dollar value for marketable securities and savings bonds outstanding in TreasuryDirect. Securities are available by security class: bills, notes, bonds, and TIPS for marketable securities and Series E, EE, and I for savings bonds. Does not include outstanding dollar value of certificates of indebtedness. That data can be retrieved from the Securities Issued in TreasuryDirect: Certificates of Indebtedness table."
Securities Issued In TreasuryDirect,Certificates of Indebtedness,/v1/accounting/od/securities_c_of_i,Securities Issued In TreasuryDirect: Certificates of Indebtedness provides the dollar amount of outstanding certificates of indebtedness issued in TreasuryDirect.
Securities Issued In TreasuryDirect,Accounts,/v1/accounting/od/securities_accounts,Securities Issued in TreasuryDirect: Accounts provides the count of unrestricted primary accounts and funded accounts in TreasuryDirect.
State and Local Government Series Securities (Non-Marketable),State and Local Government Series Securities (Non-Marketable),/v1/accounting/od/slgs_securities,"Recap of State and Local Government Series (SLGS) transaction and balance activity updated daily including subscriptions, cancellations, issues, outstanding, and redemptions of non-marketable SLGS securities."
Treasury Offset Program,Federal Collections,/v1/debt/top/top_federal,Provides delinquent debt collections by Treasury Offset Program through federal and state programs.
Treasury Offset Program,State Programs,/v1/debt/top/top_state,Provides delinquent debt recovery efforts by Treasury Offset Program through state programs. Tracks state participation in various programs.
Treasury Report on Receivables (TROR),Treasury Report on Receivables Full Data,/v2/debt/tror,"The Treasury Report on Receivables and Debt Collection Activities (TROR) is the federal government's primary means for collecting data on the status of non-tax receivables (delinquent and non-delinquent debt) owed to the United States. This report provides summary data on the value of receivables owed to the Federal government, the portion of those receivables that are delinquent, and efforts to collect or write off delinquent debt. Receivables are categorized as being either current or delinquent. Delinquent receivables are also referred to as delinquent debt. Receivables are also categorized by type of receivable: Administrative Receivables, Direct Loans, and Defaulted Guaranteed Loans. Administrative Receivables are non-loan receivables, including fines, payments, and overpayments. Direct Loans and Defaulted Guaranteed Loans are federal loan receivables. Generally, Federal creditor agencies assess interest on outstanding loan receivables. Federal creditor agencies are also generally required to assess interest, penalties, and administrative costs when receivables become delinquent. The rate of interest is generally governed by 31 U.S.C. Section 3717 and published by the Department of the Treasury. Collections are not always mutually exclusive. The amount and count of collections are recorded for each tool or technique that is used to collect funds."
Treasury Report on Receivables (TROR),Collected and Outstanding Receivables,/v2/debt/tror/collected_outstanding_recv,"Collected and Outstanding Receivables provides amounts owed to the federal government by an individual, organization, or entity other than another federal agency during the reporting period. The total outstanding receivable balance at the end of a fiscal year is the net of receivables that remained unpaid from prior fiscal years and new receivables recorded during that fiscal year, less collections, adjustments, and amounts written off and closed out. Receivables are categorized as being either current or delinquent. Delinquent receivables are also referred to as delinquent debt. Receivables are also categorized by type of receivable: Administrative Receivables, Direct Loans, and Defaulted Guaranteed Loans. Administrative Receivables are non-loan receivables, including fines, payments, and overpayments. Direct Loans and Defaulted Guaranteed Loans are federal loan receivables. Generally, federal creditor agencies assess interest on outstanding loan receivables. Federal creditor agencies are also generally required to assess interest, penalties, and administrative costs when receivables become delinquent. The rate of interest is generally governed by 31 U.S.C. Section 3717 and published by the Department of the Treasury. Collections are not always mutually exclusive. The amount and count of collections are recorded for each tool or technique that is used to collect funds."
Treasury Report on Receivables (TROR),Delinquent Debt,/v2/debt/tror/delinquent_debt,"Delinquent Debt provides delinquent debt amounts owed to the federal government by an individual, organization, or entity other than another federal agency during the reporting period. A non-tax debt is considered delinquent if it has not been paid by the date specified in an agency's initial written demand for payment or applicable agreement. A non-tax debt may become delinquent during the same fiscal year that it was recorded as a receivable or during a subsequent fiscal year. The total outstanding delinquent debt balance at the end of a fiscal year is the net of debt that remained delinquent from previous fiscal years and debt that became delinquent during that fiscal year, less collections, adjustments, and amounts written off. The calculation of the amount that became delinquent during the fiscal year is based on debt that was between 1 and 365 days delinquent as of September 30 of the Fiscal Year. Delinquent debts are categorized by age: 1-180 days, 181 days-2 years, 2-6 years, 6-10 years, and >10 years. Delinquent debts are also categorized by creditor agency category: Commercial, Consumer, Foreign and Sovereign Government, and State and Local Government. Beginning in first quarter of FY2016, the dataset includes additional detailed breakdowns of the U.S. Government's delinquent debt by age, as required by the DATA Act."
Treasury Report on Receivables (TROR),Collections on Delinquent Debt,/v2/debt/tror/collections_delinquent_debt,"Collections on Delinquent Debt provides amounts of delinquent debt collected during the reporting period. Federal creditor agencies utilize a combination of debt collection tools. Among these collection tools are administrative wage garnishment (AWG), use of private collection agencies (PCAs), offset of Federal and State payments through the Treasury Offset Program (TOP), use of Fiscal Service's Cross-Servicing Program (CS), and litigation. Before using most collection tools, federal creditor agencies must first provide debtors with due process. This includes providing notice and an opportunity to enter into a repayment agreement based on the debtor's financial circumstances, dispute the debt, or object to the intended collection action. Generally, federal creditor agencies are required to refer delinquent federal non-tax debt to Fiscal Service for collection through its delinquent debt collection programs, known as the Cross-Servicing Program and TOP. Federal creditor agencies generally are required to refer debts at no later than 120 days delinquent to the Cross-Servicing Program and TOP. Before referring a debt to Fiscal Service for collection, federal creditor agencies must provide debtors with notice and an opportunity to enter into a repayment agreement based on the debtor's financial circumstances, dispute the debt, or object to the intended collection action. While federal creditor agencies are responsible for providing this required due process, Fiscal Service also provides debtors with additional opportunities to resolve their debts prior to the initiation of adverse collection action. For example, prior to initiating a collection action, the Cross-Servicing Program sends a demand letter to each debtor, and TOP sends a warning letter to payees before offsetting recurring payments. Collections are not always mutually exclusive. The amount and count of collections are recorded for each tool or technique that is used to collect funds."
Treasury Report on Receivables (TROR),Written Off Delinquent Debt,/v2/debt/tror/written_off_delinquent_debt,"Written Off Delinquent Debt provides amounts of delinquent debt written off during the reporting period. Federal creditor agencies are generally required to write off non-tax debt that is two years delinquent (see Office of Management and Budget Circular A-129). By writing off delinquent federal non-tax debt as uncollectible, federal creditor agencies more accurately reflect the value of their receivables on the books of the United States. Certain write-offs are categorized as currently not collectible (CNC), which means that collection efforts continue until the agency determines it should terminate those efforts. Currently not collectibles debts are not always mutually exclusive as the amounts and counts are recorded for each tool or technique that is used to collect funds. Other write-offs are categorized as closed out, meaning a federal creditor agency has terminated all debt collection action. Consequently, a federal creditor agency may be required to report such write-offs to the Internal Revenue Service (IRS) as potential income to the debtor."
Treasury Reporting Rates of Exchange,Treasury Reporting Rates of Exchange,/v1/accounting/od/rates_of_exchange,Exchange rate of foreign currencies to the U.S. dollar for reporting.
U.S. Government Revenue Collections,U.S. Government Revenue Collections,/v2/revenue/rcm,"A daily overview of federal revenue collections such as individual and corporate income tax deposits, customs duties, fees for government service, fines, and loan repayments. These collections can be made through either electronic or non-electronic transactions by mail, internet, bank, or over-the-counter (OTC) channels."
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Summary of Treasury Securities Outstanding,/v1/debt/mspd/mspd_table_1,A table that summarizes the amounts outstanding for all the securities issued by the Bureau of the Fiscal Service that makes up the Total Public Debt Outstanding amount.
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Statutory Debt Limit,/v1/debt/mspd/mspd_table_2,"A table that summarizes the amounts outstanding for the securities issued by the Bureau of the Fiscal Service adjusted for Unamortized Discount on Treasury Bills and Zero Coupon Treasury Bonds, Other Debt (old debt issued before 1917 and old currency called United States Notes), Debt held by the Federal Financing Bank and Guaranteed Debt of Government Agencies that makes up the Total Public Debt Subject to Limit amount."
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Detail of Treasury Securities Outstanding,/v1/debt/mspd/mspd_table_3,A table that shows details on marketable and non-marketable Treasury securities that are outstanding as of the last business day of the month.
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Detail of Marketable Treasury Securities Outstanding,/v1/debt/mspd/mspd_table_3_market,"A table that shows in detail by CUSIP, interest rate, the issue date, maturity date, interest payment dates and amounts outstanding for unmatured Bills, Notes, Bonds, Treasury Inflation-Protected Securities and Floating Rate Notes as of the last business day of the month."
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Detail of Non-Marketable Treasury Securities Outstanding,/v1/debt/mspd/mspd_table_3_nonmarket,"A table that summarizes the monthly activity and current month amounts outstanding for Savings Bonds, Government Account Series, and State and Local Government Series securities where legal ownership cannot be transferred. These securities are outstanding as of the last business day of the month."
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Historical Data,/v1/debt/mspd/mspd_table_4,"A table that shows the historical breakdown of the Debt Held by the Public, Intragovernmental Holdings and the Total Public Debt Outstanding."
U.S. Treasury Monthly Statement of the Public Debt (MSPD),Holdings of Treasury Securities in Stripped Form,/v1/debt/mspd/mspd_table_5,"A table that shows in detail by CUSIP, the interest rate, the STRIP CUSIP, maturity date, and amounts outstanding for securities held in unstripped form, stripped form and amount that have been reconstituted. STRIP stands for Separate Trading of Registered Interest and Principal of Securities. This is a security that has been stripped down into separate securities representing the principal and each interest payment. Each payment has its own identification number and can be traded individually. These securities are also known as zero-coupon bonds."
"U.S. Treasury Savings Bonds: Issues, Redemptions, and Maturities by Series","Paper Savings Bonds Issues, Redemptions, and Maturities by Series",/v1/accounting/od/savings_bonds_report,"For each series of Treasury savings bonds, this dataset details how many are issued and redeemed, the difference of these two values is how many are outstanding, which is also reported in the dataset. It does not contain any information on the values or yields of the Treasury savings bonds. Data in this report dates to the beginning of fiscal year 1999 and is updated monthly."
"U.S. Treasury Savings Bonds: Issues, Redemptions, and Maturities by Series",Matured Unredeemed Debt,/v1/accounting/od/savings_bonds_mud,Savings bonds that have met their maturity date and have not been requested by the customer to be redeemed.
"U.S. Treasury Savings Bonds: Issues, Redemptions, and Maturities by Series",Piece Information by Series,/v1/accounting/od/savings_bonds_pcs,"Total number of savings bonds by series issued, redeemed and outstanding as of the record_date."
U.S. Treasury-Owned Gold,U.S. Treasury-Owned Gold,/v2/accounting/od/gold_reserve,The amount of gold the U.S. Treasury holds in both weight and value.
Unemployment Trust Fund: Quarterly Yields,Unemployment Trust Fund: Quarterly Yields,/v2/accounting/od/utf_qtr_yields,Current and historical yields earned each quarter from Unemployment Trust Funds from 1999 to the present.
